University,Course,Date,Time,Sem,QPCode,SubjectName
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),23.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,5026,Minor-II-2: History (History of Modern India)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),24.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,5027,Minor-II-2: Kannada (Katha Sinchana)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),17.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,5028,Minor-II-2: Political Science (Organisation and Institution)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),22.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,5029,Minor-II-2: Sociology(Indian Society: Continuity ad Change)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),20.04.2021,2.00 p.m.- 5.00 p.m.,Second Semester,5030,Minor-II-2: Economics(Money Banking and Internal Trade)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),03.04.2021,9.30 a.m. -12.30 p.m.,Second Semester,5031,Law ofTorts
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),16.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5032,Major (Paper-3):Political Science( State & Political Obligations)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),19.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5033,"Major (Paper-3): Economics (Economic, Theory &Public Finance)"
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),21.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5034,Major(Paper-3): Sociology (Recent Theoretical Perspectives of Sociology)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),24.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5035,Major (Paper-4): Political Science (Major World Governments)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),24.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5036,Major (Paper-4): Economics(Economic Development of India)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),24.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5037,Major (Paper-3): Sociology(Challenges of Indian Society)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),26.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5038,Minor-I-3: History (History of Modern World)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),27.04.2021,2.00 p.m.- 5.00 p.m.,Third Semester,5039,Minor-I-3: Kannada (Kannada Kavya Manjari)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),16.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5040,Minor-I-3: Political Science(State and Political Obligations)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),19.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5041,"Minor-I-3: Economics(Economic, Theory &Public Finance)"
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),21.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5042,Minor-I-3: Sociology(Recent Theoretical Perspectives of Sociology)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),26.04.2021,2.00 p.m.- 5.00 p.m.,Third Semester,5043,Minor-II-3: History (History of Modern World)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),27.04.2021,2.00 p.m.- 5.00 p.m.,Third Semester,5044,Minor-II-3: Kannada (Kannada Kavya Manjari)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),16.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5045,Minor-II-3: Political Science(State and Political Obligations)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),19.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5046,"Minor-II-3: Economics(Economic, Theory &Public Finance)"
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),21.04.2021,9.30 a.m. -12.30 p.m.,Third Semester,5047,Major-II-3: Sociology(Recent Theoretical Perspectives of Sociology)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),26.03.2021,9.30 a.m. -12.30 p.m.,Third Semester,5048,Constitutional Law I
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),03.04.2021,2.00 p.m.- 5.00 p.m.,Fifth Semester,5058,Labour Law I
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),27.03.2021,9.30 a.m. -12.30 p.m.,Fifth Semester,5059,Jurisprudence
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),07.04.2021,9.30 a.m. -12.30 p.m.,Fifth Semester,5060,Family Law I
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),30.03.2021,2.00 p.m.- 5.00 p.m.,Fifth Semester,5061,Contract-II (Specific Contract)
Karnataka State Law University,5 Year B.A.LL.B. (Maj.-Min Sys 2018 Onwards),12.04.2021,9.30 a.m. -12.30 p.m.,Fifth Semester,5062,Administrative Law
